,Bildtitel,Bildtitel: sorbisch,Nummer des Digitalisats,Fotograf,Bildbeschreibung,Ort sorbisch / Ort deutsch,Bildrechteinhaber,Größe der Original- bzw. Digitalisierungsvorlage,Datum der Aufnahme,Bundesland
0,Spinnrad aus Lauske,,053157.jpg,"Musiat, Siegmund",,Łusk pola Bukec / Lauske bei Hochkirch,Sorbisches Institut Bautzen,6x9,keine Angabe,Sachsen
1,Doppelspinnrad aus Lauske,,053158.jpg,"Musiat, Siegmund",,Łusk pola Bukec / Lauske bei Hochkirch,Sorbisches Institut Bautzen,6x9,keine Angabe,Sachsen
2,Spinnrad,,053159.jpg,"Wićaz, Ota (Lehmann, Otto)",,Hausrat - Hausarbeit,Sorbisches Institut Bautzen,8x11,keine Angabe,Sachsen
3,Mangelholz und Walze aus Sabrodt,,053160.jpg,"Musiat, Siegmund",,Zabrod / Sabrodt,Sorbisches Institut Bautzen,8x13,1957/58,Sachsen
4,Spinnerin in der Niederlausitz,,053161.jpg,"Wićaz, Ota (Lehmann, Otto)",,,Sorbisches Institut Bautzen,8x11,keine Angabe,Sachsen
5,Spinngeräte aus Kreckwitz,,053163.jpg,Unbekannter Fotograf (Zentralhaus für Laienkunst Leipzig),"Spinnrad und Weife. Auf die Weife wird der Faden aufgedreht, wenn die Anzeige auf 20 steht, dann  ist das ein Gürtel.",Krakecy / Kreckwitz,Sorbisches Institut Bautzen,9x13,1953,Sachsen
6,Flachsverarbeitung in Kreckwitz,,053164.jpg,Unbekannter Fotograf (Zentralhaus für Laienkunst Leipzig),Gespinst und Hechel,Krakecy / Kreckwitz,Sorbisches Institut Bautzen,9x13,1953,Sachsen
7,Flachsverarbeitung in Kreckwitz,,053165.jpg,Unbekannter Fotograf (Zentralhaus für Laienkunst Leipzig),Flachsbreche. Der Flachs wird zum Spinnen vorbereitet,Krakecy / Kreckwitz,Sorbisches Institut Bautzen,9x13,1953,Sachsen
8,Flachsverarbeitung in Kreckwitz,,053166.jpg,Unbekannter Fotograf (Zentralhaus für Laienkunst Leipzig),Gespinnst und Hechel,Krakecy / Kreckwitz,Sorbisches Institut Bautzen,9x13,1953,Sachsen
9,Spulrad aus Sabrodt,,053170.jpg,"Musiat, Siegmund",,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x14,1957,Sachsen
10,"Spulrad aus Sabrodt, Detail",,053171.jpg,"Musiat, Siegmund",,Zabrod / Sabrodt,Sorbisches Institut Bautzen,8x12,1957,Sachsen
11,Spulrad aus Sabrodt,,053174.jpg,"Musiat, Siegmund",,Zabrod / Sabrodt,Sorbisches Institut Bautzen,8x14,1957/58,Sachsen
12,Spulrad aus Sabrodt,,053175.jpg,"Musiat, Siegmund",Spulrad (sukawko),Zabrod / Sabrodt,Sorbisches Institut Bautzen,8x14,1957/58,Sachsen
13,Flachsverarbeitung in Geierswalde,,053179.jpg,"Musiat, Siegmund",Flachsbreche,Lejno / Geierswalde,Sorbisches Institut Bautzen,8x13,1957/58,Sachsen
14,Flachsverarbeitung in Geierswalde,,053180.jpg,"Musiat, Siegmund",Flachsbreche (ćerlica),Lejno / Geierswalde,Sorbisches Institut Bautzen,8x13,1957/58,Sachsen
15,Spulrad aus Sabrodt,,053181.jpg,"Musiat, Siegmund",(sukawko),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x14,1957,Sachsen
16,Mangelbrett aus Groß Särchen,,053182.jpg,"Dallmann, Alexandra",,Wulke Zdźary / Groß Särchen,Sorbisches Institut Bautzen,13x18,1963,Sachsen
17,"Weberei in Sabrodt, Arbeitsgerät",,053437.jpg,"Nawka, Blasius (Nawka, Błažij)",Leiter (rěblk),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1963,Sachsen
18,"Weberei in Sabrodt, Arbeitsgerät",,053438.jpg,"Nawka, Blasius (Nawka, Błažij)",Spulrad (sukadło),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1963,Sachsen
19,"Weberei in Sabrodt, Arbeitsgerät",,053439.jpg,"Nawka, Blasius (Nawka, Błažij)",Spulrad (sukadło),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1963,Sachsen
20,"Weberei in Sabrodt, Arbeitsgerät",,053440.jpg,"Nawka, Blasius (Nawka, Błažij)","Garnwinde (""kiby"").",Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1963,Sachsen
21,"Weberei in Sabrodt, Arbeitstechnik",,053441.jpg,"Faßke, Hanka",Umstecken des Weberschiffchens.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
22,"Weberei in Sabrodt, Arbeitstechnik",,053442.jpg,"Faßke, Hanka",Weberlade (bidmo),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
23,"Weberei in Sabrodt, Arbeitstechnik",,053443.jpg,"Faßke, Hanka","Webstuhl. Stricke, die während des Tretens das Schwingblatt heben (troki)",Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
24,"Weberei in Sabrodt, Arbeitstechnik",,053444.jpg,"Faßke, Hanka",Webstuhl.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
25,"Weberei in Sabrodt, Arbeitstechnik",,053445.jpg,"Faßke, Hanka",Webstuhl.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
26,"Weberei in Sabrodt, Arbeitstechnik",,053446.jpg,"Faßke, Hanka",Webstuhl der Familie Krank.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
27,"Weberei in Sabrodt, Arbeitstechnik",,053447.jpg,"Faßke, Hanka",Weberbaum (nawójno),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
28,"Weberei in Sabrodt, Arbeitstechnik",,053448.jpg,"Faßke, Hanka",Tretanlage des Webstuhls.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
29,"Weberei in Sabrodt, Arbeitstechnik",,053449.jpg,"Faßke, Hanka",Seiten des Webstuhles mit Weberbaum,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
30,"Weberei in Sabrodt, Arbeitstechnik",,053450.jpg,"Faßke, Hanka",Scherrahmen (snowadło),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
31,"Weberei in Sabrodt, Arbeitstechnik",,053451.jpg,"Faßke, Hanka",Fadenbrettchen.,Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
32,"Weberei in Sabrodt, Arbeitstechnik",,053452.jpg,"Faßke, Hanka",Schaft des Webstuhls (rajtka),Zabrod / Sabrodt,Sorbisches Institut Bautzen,9x12,1961,Sachsen
